Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250422;966,89;OVERFØRSEL;Overførsel Nets 0362 7978497;214782920,71;90540000
20250422;6.697,21;OVERFØRSEL;Overførsel Nets 0302 8189094;214781953,82;90540000
20250422;481,91;OVERFØRSEL;Overførsel FNR 7864309;214775256,61;90540000
20250422;88.121,86;OVERFØRSEL;Overførsel FNR 7810906;214774774,70;90540000
20250422;19.895,60;OVERFØRSEL;Overførsel FNR 7757974;214686652,84;90540000
20250422;40,60;OVERFØRSEL;Overførsel FNR 7670797;214666757,24;90540000
20250422;1.491,57;OVERFØRSEL;Overførsel FNR 7670796;214666716,64;90540000
20250422;314,88;OVERFØRSEL;Overførsel FNR 7670789;214665225,07;90540000
20250422;674,42;OVERFØRSEL;Overførsel FNR 7670788;214664910,19;90540000
20250422;783,45;OVERFØRSEL;Overførsel FNR 7667973;214664235,77;90540000
20250422;28.474,13;OVERFØRSEL;Overførsel FNR 7620659;214663452,32;90540000
20250422;27.675,66;OVERFØRSEL;Overførsel FNR 7555139;214634978,19;90540000
20250422;23.190,11;OVERFØRSEL;Overførsel FNR 7374697;214607302,53;90540000
20250422;6.711,00;OVERFØRSEL;Overførsel                         Meddelnr. 02065236925108;214584112,42;90540000
20250422;361,00;OVERFØRSEL;Overførsel                         Meddelnr. 02064641025108;214577401,42;90540000
20250422;361,00;OVERFØRSEL;Overførsel                         Meddelnr. 02064640925108;214577040,42;90540000
20250422;22.712,00;OVERFØRSEL;Overførsel                         Meddelnr. 02063603425108;214576679,42;90540000
20250422;14.748,00;OVERFØRSEL;236970 020988 Michae;214553967,42;90540000
20250422;12.320,00;OVERFØRSEL;236807 090296 Anne E;214539219,42;90540000
20250422;1.981,00;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02068347825108;214526899,42;90540000
20250422;4.685,03;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02068339325108;214524918,42;90540000
20250422;1.981,00;OVERFØRSEL;Udbetaling Danmark                 Meddelnr. 02067963325108;214520233,39;90540000
20250422;1.568,00;OVERFØRSEL;Rejsekort:K004020640;214518252,39;90540000
20250422;11.385,25;OVERFØRSEL;Flytteafregning                    Meddelnr. 02064827525108;214516684,39;90540000
20250422;53.968,00;OVERFØRSEL;Biometric koncession;214505299,14;90540000
20250422;35.965,00;UDENLANDSK OVERFØRSEL;Udenl. overf. 3511214729      NTRF;214451331,14;90540000
20250422;5.762,31;OVERFØRSEL;Overførsel 4000000000011804259     Meddelnr. 19887218225112;215087421,09;90540000
20250422;374,00;OVERFØRSEL;Overførsel 2020498350011804250     Meddelnr. 19887224525112;214977020,52;90540000
20250422;25,00;OVERFØRSEL;Overførsel 2020421200011804254     Meddelnr. 19887222025112;214975497,02;90540000
20250422;85,00;OVERFØRSEL;Overførsel 2020314620011804255     Meddelnr. 19887219325112;214975290,02;90540000
